taxon_name	CON_18018_1	CON_18018_2	CON_18018_3	CON_18018_5	CON_18018_6	CON_19007_1	CON_19007_2	CON_19009_1	CON_19009_2	CON_19010_1	CON_19011_1	CON_19012_1	CON_19016_1	CON_19017_1	CON_19018_1	CON_19019_1	CON_19020_1	CON_19021_1	CON_19024_1	CON_19027_1	CON_19028_1	CON_19029_1	CON_19031_1	CON_19032_1	CON_19033_1	CON_19034_1	CON_19035_1	CON_19036_1	CON_19037_1	CON_19041_1	CON_19042_1	DCA_18002_1	DCA_18002_4	DCA_18002_5	DCA_18002_8	DCA_18003_1	DCA_18003_4	DCA_18003_5	DCA_18003_7	DCA_18019_2	DCA_18019_3	DCA_18019_4	DCA_18019_5	DCA_18021_11	DCA_18021_3	DCA_18021_4	DCA_18021_5	DCA_18021_6	DCA_18021_7	DCA_18021_8	DCA_18021_9	DCA_18024_1	DCA_18024_3	DCA_18024_4	DCA_18024_5	DCA_19001_1	DCA_19001_3	DCA_19001_4	DCA_19001_5	DCA_19014_1	DCA_19014_3	DCA_19014_4	DCA_19023_1	DCA_19023_3	DCA_19023_4	DCA_19026_1	DCA_19026_3	DCA_19026_4	DC_18001_1	DC_18004_1	DC_18004_4	DC_18004_5	DC_18004_6	DC_18005_1	DC_18005_4	DC_18005_5	DC_18005_6	DC_18006_2	DC_18006_4	DC_18006_5	DC_18006_6	DC_18007_1	DC_18007_4	DC_18007_5	DC_18008_1	DC_18008_4	DC_18008_5	DC_18008_6	DC_18009_1	DC_18009_3	DC_18009_6	DC_18009_8	DC_18011_1	DC_18011_4	DC_18011_5	DC_18011_6	DC_18012_1	DC_18012_10	DC_18012_14	DC_18012_16	DC_18012_2	DC_18012_7	DC_18012_8	DC_18012_9	DC_18020_2	DC_18020_3	DC_18020_4	DC_18022_1	DC_18022_11	DC_18022_12	DC_18022_2	DC_18022_5	DC_18022_6	DC_18022_7	DC_18022_8	DC_18026_1	DC_18026_3	DC_18026_4	DC_18026_5	DC_18029_1	DC_18029_3	DC_18029_4	DC_18029_6	DC_19030_1	sum	pre	
d__Bacteria; k__norank_d__Bacteria; p__Spirochaetota; c__Spirochaetia; o__Spirochaetales; f__Spirochaetaceae; g__Treponema	0	0	0	0	0	0	0	37	333	49	2	0	0	0	20	0	156	33	127	6	10	93	0	14	28	52	65	91	180	326	179	10	4	0	17	6	2	2	0	187	89	252	59	0	29	218	100	58	24	86	28	23	323	0	0	212	0	0	47	239	280	167	55	138	0	0	0	0	0	7	16	18	38	35	0	0	0	7	25	25	32	49	43	45	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	3	0	236	271	14	3	0	2	0	0	0	0	0	18	0	7	160	282	179	529	0	0	6505	0.85%
d__Bacteria; k__norank_d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__Aquabacterium	77	124	100	112	65	19	0	31	21	30	39	26	42	49	43	67	26	36	49	69	56	42	74	0	66	43	35	47	27	17	0	53	41	32	24	33	45	25	48	0	0	8	4	13	16	4	0	5	4	8	18	11	9	22	22	35	61	55	48	85	55	30	48	73	92	0	0	0	42	63	64	37	55	91	37	54	35	10	25	17	35	63	49	52	57	38	28	31	60	59	55	114	97	62	136	6	242	96	83	0	162	213	136	185	11	3	10	87	27	29	48	119	66	75	63	31	22	33	8	10	10	19	31	0	5750	0.75%
d__Bacteria; k__norank_d__Bacteria; p__Firmicutes; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae; g__Lachnospiraceae_XPB1014_group	0	0	0	0	0	20	0	127	57	43	39	28	86	26	120	188	50	149	191	34	37	69	17	64	126	88	85	75	55	131	56	0	0	0	0	0	0	0	0	55	61	119	126	0	60	174	98	70	25	62	61	75	47	13	11	73	53	15	101	141	750	145	61	44	86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	49	0	0	0	0	0	0	0	0	198	60	15	0	28	15	0	0	0	0	0	63	0	26	46	62	76	70	56	0	5253	0.68%
d__Bacteria; k__norank_d__Bacteria; p__Gemmatimonadota; c__Gemmatimonadetes; o__Gemmatimonadales; f__Gemmatimonadaceae; g__norank_f__Gemmatimonadaceae	0	0	0	5	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	139	159	117	107	122	160	26	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	131	257	221	254	219	230	138	157	161	47	148	131	112	90	162	53	154	255	123	139	234	430	357	0	24	23	0	0	0	12	6	0	5	10	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	5187	0.68%
d__Bacteria; k__norank_d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Yersiniaceae; g__Serratia	85	63	45	64	51	26	46	15	17	27	42	59	26	42	34	37	6	31	32	54	31	25	29	9	36	20	28	34	14	15	31	37	13	39	33	16	28	3	0	17	58	65	42	70	73	37	44	68	59	57	27	75	61	104	61	30	21	36	24	28	0	0	0	20	29	44	20	22	0	38	34	23	44	45	33	36	25	6	25	32	32	30	33	28	34	46	30	43	37	33	40	104	93	67	94	73	61	87	57	0	73	68	79	64	74	57	63	98	31	68	64	37	56	45	66	33	56	56	25	23	22	26	52	32	5066	0.66%
d__Bacteria; k__norank_d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides	3	0	0	0	0	27	53	0	0	71	0	0	0	0	5	0	305	0	0	7	0	0	0	0	0	0	0	0	0	0	56	35	48	10	36	9	37	7	113	0	14	0	0	0	0	0	2	0	40	1	0	0	0	22	1	0	0	0	13	0	0	0	0	0	0	109	67	87	0	7	5	86	116	168	32	316	125	186	47	79	236	215	166	464	128	283	184	394	39	0	30	41	118	57	17	0	31	0	0	72	14	23	0	6	0	0	3	0	0	0	0	7	0	0	0	0	0	5	0	0	40	0	0	145	5063	0.66%
d__Bacteria; k__norank_d__Bacteria; p__Firmicutes; c__Clostridia; o__Oscillospirales; f__Eubacterium_coprostanoligenes_group; g__norank_f__Eubacterium_coprostanoligenes_group	0	0	0	0	0	57	4	60	41	30	0	0	24	0	34	11	35	68	42	0	0	37	0	4	22	73	5	32	117	126	14	16	29	15	12	83	85	106	0	7	126	134	96	0	9	199	154	49	12	69	44	101	98	131	12	53	0	3	21	33	74	106	96	39	78	9	7	10	0	4	3	37	14	27	193	107	41	3	44	79	105	47	163	54	38	54	68	37	0	0	0	0	0	0	8	27	13	0	0	0	26	7	0	0	74	18	96	0	10	31	0	0	0	0	0	51	17	46	140	71	59	124	26	12	4926	0.64%
d__Bacteria; k__norank_d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella	2	20	0	15	0	0	0	2	26	9	0	0	0	0	0	0	2	0	16	0	0	4	0	0	0	0	0	3	0	20	0	21	9	0	0	0	0	0	3	0	37	0	11	6	0	0	68	11	0	32	0	11	59	0	0	0	2	0	0	55	16	0	0	35	0	0	0	0	235	0	0	16	5	5	0	0	0	3782	1	6	4	11	0	1	0	0	1	0	0	0	2	0	0	6	0	0	0	0	0	0	0	0	5	0	0	15	24	0	0	0	125	0	0	0	0	11	1	3	23	17	35	0	2	0	4831	0.63%
d__Bacteria; k__norank_d__Bacteria; p__Firmicutes; c__Clostridia; o__Peptostreptococcales-Tissierellales; f__Peptostreptococcaceae; g__Terrisporobacter	0	0	0	0	0	14	0	127	0	62	0	0	28	0	23	50	110	196	248	41	31	190	0	20	0	178	154	141	81	126	144	0	0	0	0	0	0	0	0	67	106	0	70	0	66	56	59	83	143	17	45	59	85	105	76	135	87	8	0	77	129	205	101	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	130	13	71	0	39	83	0	0	0	0	0	0	37	57	71	110	113	126	86	0	4766	0.62%
d__Bacteria; k__norank_d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__Pelomonas	128	174	76	129	104	0	6	0	0	0	0	20	10	13	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	29	40	32	24	62	23	35	95	4	15	12	11	0	0	0	11	0	23	8	0	4	9	8	9	0	15	8	0	0	0	0	0	0	0	0	6	0	35	86	57	70	46	24	43	53	42	44	25	44	23	40	29	22	57	43	31	43	33	33	21	74	50	88	113	13	79	68	106	44	97	151	0	137	0	0	10	111	13	0	149	113	119	136	159	31	19	0	10	0	6	0	10	0	4006	0.52%
