taxon_name	CON_18018_1	CON_18018_2	CON_18018_3	CON_18018_4	CON_18018_5	CON_18018_6	CON_19007_1	CON_19007_2	CON_19009_1	CON_19009_2	CON_19010_1	CON_19011_1	CON_19012_1	CON_19016_1	CON_19017_1	CON_19018_1	CON_19019_1	CON_19020_1	CON_19021_1	CON_19024_1	CON_19027_1	CON_19028_1	CON_19029_1	CON_19031_1	CON_19032_1	CON_19033_1	CON_19034_1	CON_19035_1	CON_19036_1	CON_19037_1	CON_19041_1	CON_19042_1	DCA_18002_1	DCA_18003_1	DCA_18019_2	DCA_18021_3	DCA_18021_4	DCA_18024_1	DCA_19001_1	DCA_19014_1	DCA_19023_1	DCA_19026_1	DC_18001_1	DC_18004_1	DC_18005_1	DC_18006_2	DC_18007_1	DC_18008_1	DC_18009_1	DC_18011_1	DC_18012_1	DC_18012_2	DC_18020_2	DC_18022_1	DC_18022_2	DC_18026_1	DC_18029_1	DC_19030_1	sum	pre	
d__Bacteria; k__norank_d__Bacteria; p__Firmicutes; c__Clostridia; o__Peptostreptococcales-Tissierellales; f__Peptostreptococcaceae; g__Terrisporobacter	0	0	0	0	0	0	14	0	127	0	62	0	0	28	0	23	50	110	196	248	41	31	190	0	20	0	178	154	141	81	126	144	0	0	67	66	56	59	135	77	101	0	0	0	0	0	0	0	0	0	0	0	130	0	0	0	110	0	2765	0.77%
d__Bacteria; k__norank_d__Bacteria; p__Firmicutes; c__Clostridia; o__Oscillospirales; f__Ruminococcaceae; g__Ruminococcus	0	0	0	0	0	0	257	0	29	130	235	0	52	43	0	205	0	57	20	19	0	70	161	0	13	27	217	25	29	145	82	32	28	35	0	3	45	7	0	64	83	5	0	8	0	11	11	0	0	0	0	0	62	0	0	11	36	15	2272	0.63%
d__Bacteria; k__norank_d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Yersiniaceae; g__Serratia	85	63	45	28	64	51	26	46	15	17	27	42	59	26	42	34	37	6	31	32	54	31	25	29	9	36	20	28	34	14	15	31	37	16	17	73	37	75	30	28	0	44	0	38	45	6	30	34	37	93	61	73	74	98	64	33	23	32	2200	0.61%
d__Bacteria; k__norank_d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Caulobacterales; f__Caulobacteraceae; g__Brevundimonas	24	46	71	15	62	80	22	8	59	34	24	74	36	45	81	24	62	7	52	48	78	63	32	95	37	38	0	31	31	0	18	23	14	100	11	17	0	13	48	38	39	13	0	62	0	0	0	0	0	76	99	119	6	51	49	9	0	0	2084	0.58%
d__Bacteria; k__norank_d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__Pelomonas	128	174	76	364	129	104	0	6	0	0	0	0	20	10	13	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	29	62	4	0	0	4	0	0	0	0	35	86	24	44	40	57	33	50	79	97	0	111	149	31	0	0	1972	0.55%
d__Bacteria; k__norank_d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Streptococcus	4	8	5	0	0	0	12	0	7	68	0	0	0	0	0	0	84	44	0	8	0	4	16	0	26	39	42	56	19	0	123	0	16	204	202	63	260	86	47	0	0	0	7	0	8	22	0	0	0	11	0	5	78	27	13	41	253	0	1908	0.53%
d__Bacteria; k__norank_d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus	3	22	0	0	29	3	0	21	11	0	0	0	0	27	0	33	109	19	127	29	0	0	0	0	85	0	0	0	21	137	3	0	27	121	0	0	130	74	0	44	52	85	66	13	12	0	0	29	20	21	262	33	104	8	21	16	0	67	1884	0.53%
d__Bacteria; k__norank_d__Bacteria; p__Firmicutes; c__Bacilli; o__RF39; f__norank_o__RF39; g__norank_f__norank_o__RF39	0	0	0	0	0	0	136	2	24	112	44	0	0	0	0	3	39	38	71	20	0	13	73	0	0	0	35	25	187	162	42	111	20	190	19	4	161	24	122	3	11	5	30	7	23	0	47	3	0	0	0	0	38	0	0	0	38	1	1883	0.52%
d__Bacteria; k__norank_d__Bacteria; p__Firmicutes; c__Clostridia; o__Oscillospirales; f__Eubacterium_coprostanoligenes_group; g__norank_f__Eubacterium_coprostanoligenes_group	0	0	0	0	0	0	57	4	60	41	30	0	0	24	0	34	11	35	68	42	0	0	37	0	4	22	73	5	32	117	126	14	16	83	7	9	199	101	53	33	96	9	0	4	27	3	47	38	0	0	13	26	74	0	0	51	71	12	1808	0.5%
d__Bacteria; k__norank_d__Bacteria; p__Gemmatimonadota; c__Gemmatimonadetes; o__Gemmatimonadales; f__Gemmatimonadaceae; g__norank_f__Gemmatimonadaceae	0	0	0	338	5	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	139	122	0	0	0	0	0	0	0	0	131	257	230	47	90	154	234	24	0	5	0	0	0	0	0	0	1789	0.5%
